record_id,workload,loop_type,provenance,evaluation_count,independent_circuit_evaluations,measurement_groups_per_eval,shot_executions_per_eval,aggregate_ready,group_wave_ready,serial_evaluation_ready,critical_path_depth_lower,critical_path_depth_upper,compiled_dependency_wave,adaptive_feedback,mid_circuit_feedback_events,physical_measurement_supported,source,limitation
practical_strongnative_32node_large128c0c127_20260704060230_c0_chem_h2_l1_grid17_r0_seed17,chemistry,static_parameter_candidate_sweep,source_audited_static_loop,326,326,2,100000,32600000,26630614,81689,12,18,True,False,0,True,benchmarks/workloads/run_practical_suite.py:run_chemistry,The implemented candidate list is generated before execution; this is not an adaptive VQE optimizer trace.
practical_strongnative_32node_large128c0c127_20260704060230_c0_chem_h2_l1_grid25_r2_seed2023,chemistry,static_parameter_candidate_sweep,source_audited_static_loop,678,678,2,100000,67800000,55385142,81689,12,18,True,False,0,True,benchmarks/workloads/run_practical_suite.py:run_chemistry,The implemented candidate list is generated before execution; this is not an adaptive VQE optimizer trace.
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17,ml,static_feature_circuit_batch,source_audited_static_loop,128,128,1,10000,1280000,1280000,10000,2,15,False,False,0,False,benchmarks/workloads/run_practical_suite.py:quantum_ml_features,"All sample circuits are independent, but real-amplitude feature extraction is not a directly measured observable."
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed23,ml,static_feature_circuit_batch,source_audited_static_loop,128,128,1,10000,1280000,1280000,10000,2,15,False,False,0,False,benchmarks/workloads/run_practical_suite.py:quantum_ml_features,"All sample circuits are independent, but real-amplitude feature extraction is not a directly measured observable."
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31,ml,static_feature_circuit_batch,source_audited_static_loop,128,128,1,10000,1280000,1280000,10000,2,15,False,False,0,False,benchmarks/workloads/run_practical_suite.py:quantum_ml_features,"All sample circuits are independent, but real-amplitude feature extraction is not a directly measured observable."
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed43,ml,static_feature_circuit_batch,source_audited_static_loop,128,128,1,10000,1280000,1280000,10000,2,15,False,False,0,False,benchmarks/workloads/run_practical_suite.py:quantum_ml_features,"All sample circuits are independent, but real-amplitude feature extraction is not a directly measured observable."
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017,ml,static_feature_circuit_batch,source_audited_static_loop,128,128,1,10000,1280000,1280000,10000,2,15,False,False,0,False,benchmarks/workloads/run_practical_suite.py:quantum_ml_features,"All sample circuits are independent, but real-amplitude feature extraction is not a directly measured observable."
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1023,ml,static_feature_circuit_batch,source_audited_static_loop,128,128,1,10000,1280000,1280000,10000,2,15,False,False,0,False,benchmarks/workloads/run_practical_suite.py:quantum_ml_features,"All sample circuits are independent, but real-amplitude feature extraction is not a directly measured observable."
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031,ml,static_feature_circuit_batch,source_audited_static_loop,128,128,1,10000,1280000,1280000,10000,2,15,False,False,0,False,benchmarks/workloads/run_practical_suite.py:quantum_ml_features,"All sample circuits are independent, but real-amplitude feature extraction is not a directly measured observable."
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1043,ml,static_feature_circuit_batch,source_audited_static_loop,128,128,1,10000,1280000,1280000,10000,2,15,False,False,0,False,benchmarks/workloads/run_practical_suite.py:quantum_ml_features,"All sample circuits are independent, but real-amplitude feature extraction is not a directly measured observable."
