base_seed,evidence_scope,exact_quantum_quality,finite_shot_parameter_search,full_algorithm_loop_covered,measurement_contract,measurement_groups,native_quality,outer_optimizer_sampling,quality_gap_median,quality_pass_probability,quality_tolerance,replicates,same_record_quality_shot_trace,sampled_quality_median,seed,shots,source_path,source_record_id,workload
17,physically_measurable_variant_not_same_feature_map,0.65625,,True,computational-basis Z/nearest-neighbor-ZZ features with retrained softmax head,,1.0,,0.3359375,0.0,0.02,12,False,0.6640625,17,1000,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed17.json,practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed17,ml
17,physically_measurable_variant_not_same_feature_map,0.65625,,True,computational-basis Z/nearest-neighbor-ZZ features with retrained softmax head,,1.0,,0.328125,0.0,0.02,12,False,0.671875,17,10000,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed17.json,practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed17,ml
17,physically_measurable_variant_not_same_feature_map,0.65625,,True,computational-basis Z/nearest-neighbor-ZZ features with retrained softmax head,,1.0,,0.34375,0.0,0.02,12,False,0.65625,17,100000,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed17.json,practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed17,ml
23,physically_measurable_variant_not_same_feature_map,0.75,,True,computational-basis Z/nearest-neighbor-ZZ features with retrained softmax head,,1.0,,0.234375,0.0,0.02,12,False,0.765625,23,1000,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed23.json,practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed23,ml
23,physically_measurable_variant_not_same_feature_map,0.75,,True,computational-basis Z/nearest-neighbor-ZZ features with retrained softmax head,,1.0,,0.25,0.0,0.02,12,False,0.75,23,10000,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed23.json,practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed23,ml
23,physically_measurable_variant_not_same_feature_map,0.75,,True,computational-basis Z/nearest-neighbor-ZZ features with retrained softmax head,,1.0,,0.25,0.0,0.02,12,False,0.75,23,100000,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed23.json,practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed23,ml
31,physically_measurable_variant_not_same_feature_map,0.765625,,True,computational-basis Z/nearest-neighbor-ZZ features with retrained softmax head,,1.0,,0.25,0.0,0.02,12,False,0.75,31,1000,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed31.json,practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed31,ml
31,physically_measurable_variant_not_same_feature_map,0.765625,,True,computational-basis Z/nearest-neighbor-ZZ features with retrained softmax head,,1.0,,0.234375,0.0,0.02,12,False,0.765625,31,10000,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed31.json,practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed31,ml
31,physically_measurable_variant_not_same_feature_map,0.765625,,True,computational-basis Z/nearest-neighbor-ZZ features with retrained softmax head,,1.0,,0.234375,0.0,0.02,12,False,0.765625,31,100000,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed31.json,practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed31,ml
43,physically_measurable_variant_not_same_feature_map,0.671875,,True,computational-basis Z/nearest-neighbor-ZZ features with retrained softmax head,,1.0,,0.34375,0.0,0.02,12,False,0.65625,43,1000,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed43.json,practical_strongnative_32node_large128c0c127_20260704060230_c21_ml_digits_c0v1v2_256s_8q_d2_r0_seed43,ml
