file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,problem_name,problem_qubits,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,chem_native_baselines,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,sim_native_baselines,path,status
practical_55554015_chem_h2_l1_grid17_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001569130108691752,exact_dense_diagonalization_numpy,sparse_lanczos_eigsh_scipy,2,10.135570493002888,64593.56325431374,-1.8572750302023808,-1.8456249981377126,0.011650032064668192,1304,326,652,326,55554015,10.158261282020248,17,72,4,3,synthetic,"0,1,2",,H2_minimal_2qubit,2,1,17,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55554015_chem_h2_l1_grid17_r0_seed17.json,ok
practical_55554015_chem_h2_l1_grid25_r2_seed2023.json,chemistry,chemistry_vqe,absolute_energy_error,0.00013866799417883158,exact_dense_diagonalization_numpy,sparse_lanczos_eigsh_scipy,2,9.978018155961763,71956.17283605997,-1.857275030202383,-1.8566776536800178,0.000597376522365245,2712,678,1356,678,55554015,9.992783167981543,2023,72,4,3,synthetic,"0,1,2",,H2_minimal_2qubit,2,1,25,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55554015_chem_h2_l1_grid25_r2_seed2023.json,ok
practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ml,multiclass_ml,test_accuracy,0.00038501399103552103,linear_ridge_numpy,linear_ridge_numpy,6,17.337446221965365,45030.69141808363,1.0,0.6875,0.3125,1024,384,512,128,55554015,17.449613272969145,17,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ok
practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r0_seed23.json,ml,multiclass_ml,test_accuracy,0.00013266701716929674,nearest_centroid_numpy,nearest_centroid_numpy,6,9.497548831976019,71589.37492245092,1.0,0.75,0.25,1024,384,512,128,55554015,9.564761511981487,23,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r0_seed23.json,ok
practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ml,multiclass_ml,test_accuracy,0.00014857802307233214,linear_ridge_numpy,linear_ridge_numpy,6,10.273915011028294,69148.28181572082,1.0,0.8125,0.1875,1024,384,512,128,55554015,10.35288766497979,31,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ok
practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r0_seed43.json,ml,multiclass_ml,test_accuracy,0.00014814699534326792,linear_ridge_numpy,linear_ridge_numpy,6,9.901758137042634,66837.38751568673,1.0,0.84375,0.15625,1024,384,512,128,55554015,10.015122304961551,43,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r0_seed43.json,ok
practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ml,multiclass_ml,test_accuracy,0.00017659098375588655,nearest_centroid_numpy,nearest_centroid_numpy,6,10.105014136992395,57222.707083172645,1.0,0.75,0.25,1024,384,512,128,55554015,10.178708921012003,1017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ok
practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r1_seed1023.json,ml,multiclass_ml,test_accuracy,0.000758516020141542,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,9.17636996798683,12097.793222975679,1.0,0.8125,0.1875,1024,384,512,128,55554015,9.252760507981293,1023,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r1_seed1023.json,ok
practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031.json,ml,multiclass_ml,test_accuracy,0.0008124200394377112,knn_numpy,knn_numpy,6,9.924033613002393,12215.397369901133,1.0,0.78125,0.21875,1024,384,512,128,55554015,10.008219112001825,1031,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031.json,ok
practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r1_seed1043.json,ml,multiclass_ml,test_accuracy,0.0007489279960282147,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,10.815049649972934,14440.706860109813,1.0,0.90625,0.09375,1024,384,512,128,55554015,10.942790176952258,1043,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r1_seed1043.json,ok
practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r2_seed2017.json,ml,multiclass_ml,test_accuracy,0.0001461729989387095,linear_ridge_numpy,linear_ridge_numpy,6,10.2866105120047,70372.84988808287,1.0,0.78125,0.21875,1024,384,512,128,55554015,10.356292087992188,2017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r2_seed2017.json,ok
practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r2_seed2023.json,ml,multiclass_ml,test_accuracy,0.0007896070019342005,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,10.005079676979221,12670.961190150343,1.0,0.6875,0.3125,1024,384,512,128,55554015,10.0718723150203,2023,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r2_seed2023.json,ok
practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r2_seed2031.json,ml,multiclass_ml,test_accuracy,0.0007968309801071882,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,9.909912098955829,12436.655133090791,1.0,0.8125,0.1875,1024,384,512,128,55554015,9.975989343016408,2031,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55554015_ml_digits_c0v1v2_128s_4q_d1_r2_seed2031.json,ok
