file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,problem_name,problem_qubits,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,chem_native_baselines,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,sim_native_baselines,path,status
practical_55731033_scale_32n_128g_c0_chem_h2_l1_grid17_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001447000540792942,exact_dense_diagonalization_numpy,sparse_lanczos_eigsh_scipy,2,11.722358033061028,81011.42814112073,-1.857275030202382,-1.8456249981377126,0.011650032064669302,1304,326,652,326,55731033_scale_32n_128g_c0,11.75285284302663,17,72,4,3,synthetic,"0,1,2",,H2_minimal_2qubit,2,1,17,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55731033_scale_32n_128g_c0_chem_h2_l1_grid17_r0_seed17.json,ok
practical_55731033_scale_32n_128g_c0_chem_h2_l1_grid25_r2_seed2023.json,chemistry,chemistry_vqe,absolute_energy_error,0.00014853698667138815,exact_dense_diagonalization_numpy,sparse_lanczos_eigsh_scipy,2,11.526830110000446,77602.42326378629,-1.857275030202383,-1.8566776536800178,0.000597376522365245,2712,678,1356,678,55731033_scale_32n_128g_c0,11.535335744963959,2023,72,4,3,synthetic,"0,1,2",,H2_minimal_2qubit,2,1,25,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55731033_scale_32n_128g_c0_chem_h2_l1_grid25_r2_seed2023.json,ok
practical_55731033_scale_32n_128g_c0_chem_molecular_chain_4q_l1_grid17_r6_seed6043.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001595490612089634,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,11.610233959974721,72769.05217742806,-1.705732892552902,-1.4781560104597147,0.22757688209318738,296,111,148,37,55731033_scale_32n_128g_c0,11.626462616026402,6043,72,4,3,synthetic,"0,1,2",,molecular_chain_4q_surrogate,4,1,17,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55731033_scale_32n_128g_c0_chem_molecular_chain_4q_l1_grid17_r6_seed6043.json,ok
practical_55731033_scale_32n_128g_c0_chem_molecular_chain_4q_l1_grid9_r4_seed4031.json,chemistry,chemistry_vqe,absolute_energy_error,0.00016268505714833736,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,11.501431583077647,70697.52923030025,-1.705732892552902,-0.9867778142116705,0.7189550783412315,168,63,84,21,55731033_scale_32n_128g_c0,11.520658801076934,4031,72,4,3,synthetic,"0,1,2",,molecular_chain_4q_surrogate,4,1,9,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55731033_scale_32n_128g_c0_chem_molecular_chain_4q_l1_grid9_r4_seed4031.json,ok
practical_55731033_scale_32n_128g_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ml,multiclass_ml,test_accuracy,0.0001624539727345109,linear_ridge_numpy,linear_ridge_numpy,6,16.25239324104041,100043.06430597886,1.0,0.6875,0.3125,1024,384,512,128,55731033_scale_32n_128g_c0,16.388407106045634,17,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55731033_scale_32n_128g_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ok
practical_55731033_scale_32n_128g_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed23.json,ml,multiclass_ml,test_accuracy,0.00013025198131799698,nearest_centroid_numpy,nearest_centroid_numpy,6,11.734348793979734,90089.59921562739,1.0,0.75,0.25,1024,384,512,128,55731033_scale_32n_128g_c0,11.803256615065038,23,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55731033_scale_32n_128g_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed23.json,ok
practical_55731033_scale_32n_128g_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ml,multiclass_ml,test_accuracy,0.00015284598339349031,linear_ridge_numpy,linear_ridge_numpy,6,11.1675773790339,73064.25154976972,1.0,0.8125,0.1875,1024,384,512,128,55731033_scale_32n_128g_c0,11.240766820963472,31,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55731033_scale_32n_128g_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ok
practical_55731033_scale_32n_128g_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed43.json,ml,multiclass_ml,test_accuracy,0.0001499699428677559,linear_ridge_numpy,linear_ridge_numpy,6,17.1489153529983,114349.01570990318,1.0,0.84375,0.15625,1024,384,512,128,55731033_scale_32n_128g_c0,17.219518973957747,43,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55731033_scale_32n_128g_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed43.json,ok
practical_55731033_scale_32n_128g_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ml,multiclass_ml,test_accuracy,0.00017031899187713861,nearest_centroid_numpy,nearest_centroid_numpy,6,11.88090100500267,69756.75979560213,1.0,0.75,0.25,1024,384,512,128,55731033_scale_32n_128g_c0,11.95003029902,1017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55731033_scale_32n_128g_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ok
practical_55731033_scale_32n_128g_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1023.json,ml,multiclass_ml,test_accuracy,0.0007643488934263587,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,11.998892675037496,15698.188063372307,1.0,0.8125,0.1875,1024,384,512,128,55731033_scale_32n_128g_c0,12.07157945993822,1023,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_55731033_scale_32n_128g_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1023.json,ok
