file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,problem_name,problem_qubits,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,chem_native_baselines,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,sim_native_baselines,path,status
practical_accept_baselines_1node_20260704150409_c0_chem_h2_l1_grid17_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00018608995014801621,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,25.120572988002095,134991.5617045475,-1.85727503020238,-1.8456249981377126,0.011650032064667304,1304,326,652,326,accept_baselines_1node_20260704150409_c0,25.1447467940161,17,72,4,3,synthetic,"0,1,2",,H2_minimal_2qubit,2,1,17,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_accept_baselines_1node_20260704150409_c0_chem_h2_l1_grid17_r0_seed17.json,ok
practical_accept_baselines_1node_20260704150409_c0_chem_h2_l1_grid17_r0_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.00014334695879369974,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,9.306070051970892,64919.89875672133,-1.85727503020238,-1.8456249981377126,0.011650032064667304,1304,326,652,326,accept_baselines_1node_20260704150409_c0,9.313678832026199,23,72,4,3,synthetic,"0,1,2",,H2_minimal_2qubit,2,1,17,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_accept_baselines_1node_20260704150409_c0_chem_h2_l1_grid17_r0_seed23.json,ok
practical_accept_baselines_1node_20260704150409_c0_chem_h2_sto3g_4q_l1_grid17_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001487869885750115,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,9.871470684011001,66346.33027090447,-1.1372701746609029,-0.6316547102283506,0.5056154644325522,296,111,148,37,accept_baselines_1node_20260704150409_c0,9.880710355006158,17,72,4,3,synthetic,"0,1,2",,h2_sto3g_4q,4,1,17,1,benchmarks/workloads/hamiltonians/h2_sto3g_4q.json,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_accept_baselines_1node_20260704150409_c0_chem_h2_sto3g_4q_l1_grid17_r0_seed17.json,ok
practical_accept_baselines_1node_20260704150409_c0_chem_h2_sto3g_4q_l1_grid17_r0_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015093199908733368,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,9.684470120002516,64164.45934966247,-1.1372701746609029,-0.5324790068861727,0.6047911677747302,296,111,148,37,accept_baselines_1node_20260704150409_c0,9.696939677989576,23,72,4,3,synthetic,"0,1,2",,h2_sto3g_4q,4,1,17,1,benchmarks/workloads/hamiltonians/h2_sto3g_4q.json,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_accept_baselines_1node_20260704150409_c0_chem_h2_sto3g_4q_l1_grid17_r0_seed23.json,ok
practical_accept_baselines_1node_20260704150409_c0_chem_h2_sto3g_4q_l2_grid9_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00016603001859039068,exact_dense_diagonalization_numpy,sparse_lanczos_eigsh_scipy,2,9.467163475987036,57020.79392849605,-1.1372701746609033,-0.35613463544553314,0.7811355392153702,336,126,84,21,accept_baselines_1node_20260704150409_c0,9.479260751977563,17,72,4,3,synthetic,"0,1,2",,h2_sto3g_4q,4,1,9,2,benchmarks/workloads/hamiltonians/h2_sto3g_4q.json,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_accept_baselines_1node_20260704150409_c0_chem_h2_sto3g_4q_l2_grid9_r0_seed17.json,ok
practical_accept_baselines_1node_20260704150409_c0_chem_h2_sto3g_4q_l2_grid9_r0_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.00014862697571516037,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,10.753175008983817,72350.08959337226,-1.1372701746609029,-0.3511901986746768,0.786079975986226,336,126,84,21,accept_baselines_1node_20260704150409_c0,10.763096196984407,23,72,4,3,synthetic,"0,1,2",,h2_sto3g_4q,4,1,9,2,benchmarks/workloads/hamiltonians/h2_sto3g_4q.json,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_accept_baselines_1node_20260704150409_c0_chem_h2_sto3g_4q_l2_grid9_r0_seed23.json,ok
practical_accept_baselines_1node_20260704150409_c0_chem_h2o_sto3g_active_4q_l1_grid9_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015563098713755608,exact_dense_diagonalization_numpy,sparse_lanczos_eigsh_scipy,2,9.450993503967766,60726.939267013746,-74.9641952919976,-74.61675926705786,0.34743602493973924,168,63,84,21,accept_baselines_1node_20260704150409_c0,9.462877326004673,17,72,4,3,synthetic,"0,1,2",,h2o_sto3g_active_4q,4,1,9,1,benchmarks/workloads/hamiltonians/h2o_sto3g_active_4q.json,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_accept_baselines_1node_20260704150409_c0_chem_h2o_sto3g_active_4q_l1_grid9_r0_seed17.json,ok
practical_accept_baselines_1node_20260704150409_c0_chem_h2o_sto3g_active_4q_l1_grid9_r0_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015405798330903053,exact_dense_diagonalization_numpy,sparse_lanczos_eigsh_scipy,2,9.517573474964593,61779.16438041996,-74.9641952919975,-74.55508213980782,0.4091131521896756,168,63,84,21,accept_baselines_1node_20260704150409_c0,9.52614515600726,23,72,4,3,synthetic,"0,1,2",,h2o_sto3g_active_4q,4,1,9,1,benchmarks/workloads/hamiltonians/h2o_sto3g_active_4q.json,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_accept_baselines_1node_20260704150409_c0_chem_h2o_sto3g_active_4q_l1_grid9_r0_seed23.json,ok
practical_accept_baselines_1node_20260704150409_c0_chem_h2o_sto3g_active_4q_l2_grid17_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001541079836897552,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,9.560316617949866,62036.47850715094,-74.96419529199744,-74.51829816225637,0.4458971297410699,592,222,148,37,accept_baselines_1node_20260704150409_c0,9.569883524032775,17,72,4,3,synthetic,"0,1,2",,h2o_sto3g_active_4q,4,1,17,2,benchmarks/workloads/hamiltonians/h2o_sto3g_active_4q.json,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_accept_baselines_1node_20260704150409_c0_chem_h2o_sto3g_active_4q_l2_grid17_r0_seed17.json,ok
practical_accept_baselines_1node_20260704150409_c0_chem_h2o_sto3g_active_4q_l2_grid17_r0_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015146296937018633,exact_dense_diagonalization_numpy,sparse_lanczos_eigsh_scipy,2,10.396627276029903,68641.38026120301,-74.96419529199748,-74.51647720347528,0.4477180885222083,592,222,148,37,accept_baselines_1node_20260704150409_c0,10.491256271023303,23,72,4,3,synthetic,"0,1,2",,h2o_sto3g_active_4q,4,1,17,2,benchmarks/workloads/hamiltonians/h2o_sto3g_active_4q.json,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_accept_baselines_1node_20260704150409_c0_chem_h2o_sto3g_active_4q_l2_grid17_r0_seed23.json,ok
practical_accept_baselines_1node_20260704150409_c0_chem_lih_sto3g_active_4q_l2_grid13_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001620840048417449,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,9.374396084982436,57836.65139651122,-7.862773162272801,-7.70232475760537,0.16044840466743082,464,174,116,29,accept_baselines_1node_20260704150409_c0,9.387178276025224,17,72,4,3,synthetic,"0,1,2",,lih_sto3g_active_4q,4,1,13,2,benchmarks/workloads/hamiltonians/lih_sto3g_active_4q.json,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_accept_baselines_1node_20260704150409_c0_chem_lih_sto3g_active_4q_l2_grid13_r0_seed17.json,ok
practical_accept_baselines_1node_20260704150409_c0_chem_lih_sto3g_active_4q_l2_grid13_r0_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015747500583529472,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,9.135979434009641,58015.4252768537,-7.862773162272801,-7.70232475760537,0.16044840466743082,464,174,116,29,accept_baselines_1node_20260704150409_c0,9.155674132984132,23,72,4,3,synthetic,"0,1,2",,lih_sto3g_active_4q,4,1,13,2,benchmarks/workloads/hamiltonians/lih_sto3g_active_4q.json,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_accept_baselines_1node_20260704150409_c0_chem_lih_sto3g_active_4q_l2_grid13_r0_seed23.json,ok
