file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status
practical_strongnative_1node_int_20260704012008_c3_chem_4q_grid9_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00017632002709433436,exact_diagonalization_numpy,,0,6.545382609998342,37122.17334504177,-1.705732892552902,-0.9019600519043551,0.8037728406485469,168,63,84,21,strongnative_1node_int_20260704012008_c3,6.558287514024414,17,72,4,3,synthetic,"0,1,2",,1,9,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c3_chem_4q_grid9_seed17.json,ok
practical_strongnative_1node_int_20260704012008_c3_chem_h2_grid25_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001580860116519034,exact_diagonalization_numpy,,0,6.763249061012175,42782.084197964796,-1.85727503020238,-1.8566776536800178,0.0005973765223621363,2712,678,1356,678,strongnative_1node_int_20260704012008_c3,6.770254704984836,23,72,4,3,synthetic,"0,1,2",,1,25,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c3_chem_h2_grid25_seed23.json,ok
practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_128s_4q_d2_seed23.json,ml,multiclass_ml,test_accuracy,0.00013484101509675384,nearest_centroid_numpy,nearest_centroid_numpy,6,6.86118136899313,50883.48944918545,1.0,0.59375,0.40625,2048,768,512,128,strongnative_1node_int_20260704012008_c3,6.954702636983711,23,128,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_128s_4q_d2_seed23.json,ok
practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_128s_6q_d2_seed17.json,ml,multiclass_ml,test_accuracy,0.00015835597878322005,nearest_centroid_numpy,nearest_centroid_numpy,6,19.759556195000187,124779.35059243863,1.0,0.65625,0.34375,3072,1280,768,128,strongnative_1node_int_20260704012008_c3,19.99029361002613,17,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_128s_6q_d2_seed17.json,ok
practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_128s_8q_d2_seed23.json,ml,multiclass_ml,test_accuracy,0.0008219600422307849,knn_numpy,knn_numpy,6,7.351476130017545,8943.836381712388,1.0,0.625,0.375,4096,1792,1024,128,strongnative_1node_int_20260704012008_c3,7.443231992947403,23,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_128s_8q_d2_seed23.json,ok
practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_192s_4q_d2_seed17.json,ml,multiclass_ml,test_accuracy,0.023751561995595694,softmax_regression_numpy,softmax_regression_numpy,6,7.819502261001617,329.22054820864435,1.0,0.7083333333333334,0.29166666666666663,3072,1152,768,192,strongnative_1node_int_20260704012008_c3,7.982984736969229,17,192,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_192s_4q_d2_seed17.json,ok
practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_192s_6q_d2_seed23.json,ml,multiclass_ml,test_accuracy,0.00014988996554166079,linear_ridge_numpy,linear_ridge_numpy,6,6.699264772993047,44694.55142499874,0.9791666666666666,0.7083333333333334,0.27083333333333326,4608,1920,1152,192,strongnative_1node_int_20260704012008_c3,6.808022728015203,23,192,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_192s_6q_d2_seed23.json,ok
practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_192s_8q_d2_seed17.json,ml,multiclass_ml,test_accuracy,0.00018447701586410403,nearest_centroid_numpy,nearest_centroid_numpy,6,7.1118772240006365,38551.56259270607,1.0,0.6875,0.3125,6144,2688,1536,192,strongnative_1node_int_20260704012008_c3,7.219934948021546,17,192,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_192s_8q_d2_seed17.json,ok
practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_256s_4q_d2_seed23.json,ml,multiclass_ml,test_accuracy,0.0021447379840537906,knn_numpy,knn_numpy,6,7.496284349996131,3495.1982040376465,1.0,0.671875,0.328125,4096,1536,1024,256,strongnative_1node_int_20260704012008_c3,7.625434407033026,23,256,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_256s_4q_d2_seed23.json,ok
practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_256s_6q_d2_seed17.json,ml,multiclass_ml,test_accuracy,0.00015474000247195363,nearest_centroid_numpy,nearest_centroid_numpy,6,7.339326229004655,47430.051129376814,1.0,0.6875,0.3125,6144,2560,1536,256,strongnative_1node_int_20260704012008_c3,7.466536811029073,17,256,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c3_ml_digits_c0v1v2_256s_6q_d2_seed17.json,ok
