file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status
practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_chem_4q_l1_grid13_r2_seed2023.json,chemistry,chemistry_vqe,absolute_energy_error,0.00017610000213608146,exact_diagonalization_numpy,,0,7.31231150100939,41523.63096145106,-1.705732892552902,-1.1901014927052382,0.5156313998476638,232,87,116,29,strongnative_2node_large128c0c7_fix_20260704022146_c3,7.32051795598818,2023,72,4,3,synthetic,"0,1,2",,1,13,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_chem_4q_l1_grid13_r2_seed2023.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_chem_h2_l1_grid33_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015525001799687743,exact_diagonalization_numpy,,0,7.378473219985608,47526.39204289182,-1.85727503020238,-1.8569734051608102,0.0003016250415697197,4632,1158,2316,1158,strongnative_2node_large128c0c7_fix_20260704022146_c3,7.388212264981121,17,72,4,3,synthetic,"0,1,2",,1,33,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_chem_h2_l1_grid33_r0_seed17.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed17.json,ml,multiclass_ml,test_accuracy,0.00016991799930110574,nearest_centroid_numpy,nearest_centroid_numpy,6,14.824297703977209,87243.83387840855,1.0,0.65625,0.34375,3072,1280,768,128,strongnative_2node_large128c0c7_fix_20260704022146_c3,15.145952232007403,17,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed17.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed23.json,ml,multiclass_ml,test_accuracy,0.0008666139910928905,knn_numpy,knn_numpy,6,7.983098233991768,9211.827083387207,1.0,0.59375,0.40625,3072,1280,768,128,strongnative_2node_large128c0c7_fix_20260704022146_c3,8.07761164099793,23,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed23.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed31.json,ml,multiclass_ml,test_accuracy,0.00015734400949440897,nearest_centroid_numpy,nearest_centroid_numpy,6,7.541908827028237,47932.60862782469,1.0,0.75,0.25,3072,1280,768,128,strongnative_2node_large128c0c7_fix_20260704022146_c3,7.634988696023356,31,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed31.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed43.json,ml,multiclass_ml,test_accuracy,0.0001573439803905785,nearest_centroid_numpy,nearest_centroid_numpy,6,7.700787915993715,48942.373879686245,1.0,0.84375,0.15625,3072,1280,768,128,strongnative_2node_large128c0c7_fix_20260704022146_c3,7.820339568017516,43,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed43.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1017.json,ml,multiclass_ml,test_accuracy,0.0008429059816990048,knn_numpy,knn_numpy,6,7.317066179995891,8680.761957872495,1.0,0.65625,0.34375,3072,1280,768,128,strongnative_2node_large128c0c7_fix_20260704022146_c3,7.416933143977076,1017,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1017.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1023.json,ml,multiclass_ml,test_accuracy,0.011582923994865268,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,7.398281005996978,638.7230900657424,0.96875,0.59375,0.375,3072,1280,768,128,strongnative_2node_large128c0c7_fix_20260704022146_c3,7.490406990982592,1023,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1023.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1031.json,ml,multiclass_ml,test_accuracy,0.00013753600069321692,nearest_centroid_numpy,nearest_centroid_numpy,6,7.647270723013207,55601.956465717994,0.96875,0.78125,0.1875,3072,1280,768,128,strongnative_2node_large128c0c7_fix_20260704022146_c3,7.787728543014964,1031,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1031.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1043.json,ml,multiclass_ml,test_accuracy,0.00015644199447706342,nearest_centroid_numpy,nearest_centroid_numpy,6,8.317299352987902,53165.38810943972,1.0,0.8125,0.1875,3072,1280,768,128,strongnative_2node_large128c0c7_fix_20260704022146_c3,8.409448200982297,1043,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1043.json,ok
