file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,problem_name,problem_qubits,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,chem_native_baselines,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,sim_native_baselines,path,status
practical_strongnative_64node_large256c0c255_20260705024742_c0_chem_h2_l1_grid17_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.000139861018396914,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,13.546288885001559,96855.35712716113,-1.85727503020238,-1.8456249981377126,0.011650032064667304,1304,326,652,326,strongnative_64node_large256c0c255_20260705024742_c0,13.565207212988753,17,72,4,3,synthetic,"0,1,2",,H2_minimal_2qubit,2,1,17,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_chem_h2_l1_grid17_r0_seed17.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_chem_molecular_chain_4q_l1_grid9_r4_seed4031.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001586570288054645,exact_dense_diagonalization_numpy,sparse_lanczos_eigsh_scipy,2,11.826049812021665,74538.45506285159,-1.7057328925529032,-0.9867778142116705,0.7189550783412326,168,63,84,21,strongnative_64node_large256c0c255_20260705024742_c0,11.842575268005021,4031,72,4,3,synthetic,"0,1,2",,molecular_chain_4q_surrogate,4,1,9,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_chem_molecular_chain_4q_l1_grid9_r4_seed4031.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ml,multiclass_ml,test_accuracy,0.00025843101320788264,linear_ridge_numpy,linear_ridge_numpy,6,32.32153393898625,125068.32495752635,1.0,0.6875,0.3125,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,32.42976934002945,17,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ml,multiclass_ml,test_accuracy,0.0001496190088801086,linear_ridge_numpy,linear_ridge_numpy,6,13.03186247398844,87100.31279802835,1.0,0.8125,0.1875,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,13.104995853966102,31,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ml,multiclass_ml,test_accuracy,0.00016597099602222443,nearest_centroid_numpy,nearest_centroid_numpy,6,13.45217116898857,81051.33722995342,1.0,0.75,0.25,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,13.517249605967663,1017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031.json,ml,multiclass_ml,test_accuracy,0.0008185349870473146,knn_numpy,knn_numpy,6,13.119614479015581,16028.16579208387,1.0,0.78125,0.21875,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,13.185819526028354,1031,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2017.json,ml,multiclass_ml,test_accuracy,0.00014823698438704014,linear_ridge_numpy,linear_ridge_numpy,6,17.070712259970605,115158.25372836605,1.0,0.78125,0.21875,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,17.133184591017198,2017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2017.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2031.json,ml,multiclass_ml,test_accuracy,0.0007797900470905006,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,15.25698054995155,19565.49792713738,1.0,0.8125,0.1875,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,15.323224683990702,2031,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2031.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r3_seed3017.json,ml,multiclass_ml,test_accuracy,0.0008041770197451115,knn_numpy,knn_numpy,6,15.667451158980839,19482.589994858008,1.0,0.75,0.25,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,15.738431853009388,3017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r3_seed3017.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r3_seed3031.json,ml,multiclass_ml,test_accuracy,0.0007705420139245689,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,17.67331587197259,22936.21314943989,1.0,0.78125,0.21875,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,17.751453712990042,3031,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r3_seed3031.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r4_seed4017.json,ml,multiclass_ml,test_accuracy,0.000781603972427547,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,15.194791930960491,19440.525466839303,1.0,0.84375,0.15625,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,15.268391706980765,4017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r4_seed4017.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r4_seed4031.json,ml,multiclass_ml,test_accuracy,0.0001440590131096542,linear_ridge_numpy,linear_ridge_numpy,6,15.389542135992087,106828.04084099858,1.0,0.78125,0.21875,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,15.453844531031791,4031,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r4_seed4031.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r5_seed5017.json,ml,multiclass_ml,test_accuracy,0.009521865984424949,softmax_regression_numpy,softmax_regression_numpy,6,12.77593053097371,1341.7465181584662,0.96875,1.0,-0.03125,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,12.844498555001337,5017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r5_seed5017.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r5_seed5031.json,ml,multiclass_ml,test_accuracy,0.00015110202366486192,linear_ridge_numpy,linear_ridge_numpy,6,12.212690337037202,80824.13485159172,1.0,0.71875,0.28125,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,12.27919299196219,5031,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r5_seed5031.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r6_seed6017.json,ml,multiclass_ml,test_accuracy,0.0001485380344092846,linear_ridge_numpy,linear_ridge_numpy,6,12.605248515959829,84862.0931742444,1.0,0.875,0.125,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,12.67483163496945,6017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r6_seed6017.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r6_seed6031.json,ml,multiclass_ml,test_accuracy,0.00014643400209024549,linear_ridge_numpy,linear_ridge_numpy,6,13.346510234987363,91143.51888547082,1.0,0.84375,0.15625,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,13.412443258042913,6031,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r6_seed6031.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r7_seed7017.json,ml,multiclass_ml,test_accuracy,0.00013053201837465167,nearest_centroid_numpy,nearest_centroid_numpy,6,14.853164955973625,113789.43757187774,1.0,0.90625,0.09375,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,14.923958811035845,7017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r7_seed7017.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r7_seed7031.json,ml,multiclass_ml,test_accuracy,0.00014687399379909039,linear_ridge_numpy,linear_ridge_numpy,6,12.980856638983823,88380.90599442946,1.0,0.75,0.25,1024,384,512,128,strongnative_64node_large256c0c255_20260705024742_c0,13.046723152976483,7031,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r7_seed7031.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_qaoa_chordal_5n_grid7_r0_seed23.json,optimization,optimization_qaoa,approximation_ratio,4.895502934232354e-05,exact_enumeration_numpy,,4,12.734478924016003,260126.06049051115,6,4.521153579257492,0.2464744034570847,833,686,245,49,strongnative_64node_large256c0c255_20260705024742_c0,12.744091084983665,23,72,4,3,synthetic,"0,1,2",,small_maxcut,5,1,21,1,,"dense_exact,sparse_lanczos",5,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_qaoa_chordal_5n_grid7_r0_seed23.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_qaoa_chordal_5n_grid7_r4_seed4023.json,optimization,optimization_qaoa,approximation_ratio,4.939502105116844e-05,exact_enumeration_numpy,,4,12.620696579979267,255505.4398479849,6,4.521153579257492,0.2464744034570847,833,686,245,49,strongnative_64node_large256c0c255_20260705024742_c0,12.636758339998778,4023,72,4,3,synthetic,"0,1,2",,small_maxcut,5,1,21,1,,"dense_exact,sparse_lanczos",5,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_qaoa_chordal_5n_grid7_r4_seed4023.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_qaoa_ladder_6n_grid7_r1_seed1031.json,optimization,optimization_qaoa,approximation_ratio,2.0028033759444952e-05,greedy_assignment_numpy,,4,13.127174797002226,655440.0174611063,7,4.737139289628745,0.32326581576732216,931,686,294,49,strongnative_64node_large256c0c255_20260705024742_c0,13.179342654009815,1031,72,4,3,synthetic,"0,1,2",,small_maxcut,6,1,21,1,,"dense_exact,sparse_lanczos",6,ladder,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_qaoa_ladder_6n_grid7_r1_seed1031.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_qaoa_ladder_6n_grid7_r5_seed5031.json,optimization,optimization_qaoa,approximation_ratio,2.0319013856351376e-05,greedy_assignment_numpy,,4,11.554883475997485,568673.4384693393,7,4.737139289628745,0.32326581576732216,931,686,294,49,strongnative_64node_large256c0c255_20260705024742_c0,11.567888838006184,5031,72,4,3,synthetic,"0,1,2",,small_maxcut,6,1,21,1,,"dense_exact,sparse_lanczos",6,ladder,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_qaoa_ladder_6n_grid7_r5_seed5031.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_qaoa_ring_4n_grid7_r3_seed3017.json,optimization,optimization_qaoa,approximation_ratio,1.7062993720173836e-05,greedy_assignment_numpy,,4,13.013146253011655,762653.1701541925,4,2.749999999999999,0.3125000000000002,588,392,196,49,strongnative_64node_large256c0c255_20260705024742_c0,13.025527104968205,3017,72,4,3,synthetic,"0,1,2",,small_maxcut,4,1,21,1,,"dense_exact,sparse_lanczos",4,ring,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_qaoa_ring_4n_grid7_r3_seed3017.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_qaoa_ring_4n_grid7_r7_seed7017.json,optimization,optimization_qaoa,approximation_ratio,1.6623002011328936e-05,greedy_assignment_numpy,,4,13.046758170996327,784861.733284077,4,2.749999999999999,0.3125000000000002,588,392,196,49,strongnative_64node_large256c0c255_20260705024742_c0,13.072175924025942,7017,72,4,3,synthetic,"0,1,2",,small_maxcut,4,1,21,1,,"dense_exact,sparse_lanczos",4,ring,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_qaoa_ring_4n_grid7_r7_seed7017.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_sim_tfim_4q_4steps_r0_seed31.json,simulation,hamiltonian_simulation,absolute_observable_error,0.00034797401167452335,exact_dense_eigendecomposition_numpy,exact_dense_eigendecomposition_numpy,2,13.444910431979224,38637.68551932806,0.8218024506329117,0.820673031863585,0.0011294187693267066,28,24,4,1,strongnative_64node_large256c0c255_20260705024742_c0,13.453609354037326,31,72,4,3,synthetic,"0,1,2",,tfim,4,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_sim_tfim_4q_4steps_r0_seed31.json,ok
practical_strongnative_64node_large256c0c255_20260705024742_c0_sim_tfim_4q_4steps_r2_seed2031.json,simulation,hamiltonian_simulation,absolute_observable_error,0.00033052999060600996,exact_dense_eigendecomposition_numpy,exact_dense_eigendecomposition_numpy,2,11.049819730978925,33430.61157845205,0.8218024506329117,0.820673031863585,0.0011294187693267066,28,24,4,1,strongnative_64node_large256c0c255_20260705024742_c0,11.065921628032811,2031,72,4,3,synthetic,"0,1,2",,tfim,4,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongnative_64node_large256c0c255_20260705024742_c0_sim_tfim_4q_4steps_r2_seed2031.json,ok
