file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status
practical_strongscale_4node_large128full_20260704060904_c0_chem_4q_l1_grid17_r0_seed43.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001848679967224598,exact_diagonalization_numpy,,0,7.319397976039909,39592.56391482641,-1.705732892552902,-1.271535181926569,0.43419771062633306,296,111,148,37,strongscale_4node_large128full_20260704060904_c0,7.330029333010316,43,72,4,3,synthetic,"0,1,2",,1,17,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongscale_4node_large128full_20260704060904_c0_chem_4q_l1_grid17_r0_seed43.json,ok
practical_strongscale_4node_large128full_20260704060904_c0_chem_4q_l1_grid17_r2_seed2043.json,chemistry,chemistry_vqe,absolute_energy_error,0.00018732203170657158,exact_diagonalization_numpy,,0,7.366143730003387,39323.42428114381,-1.705732892552902,-1.304112701073927,0.401620191478975,296,111,148,37,strongscale_4node_large128full_20260704060904_c0,7.373860747960862,2043,72,4,3,synthetic,"0,1,2",,1,17,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongscale_4node_large128full_20260704060904_c0_chem_4q_l1_grid17_r2_seed2043.json,ok
practical_strongscale_4node_large128full_20260704060904_c0_chem_4q_l1_grid9_r0_seed31.json,chemistry,chemistry_vqe,absolute_energy_error,0.00027137500001117587,exact_diagonalization_numpy,,0,7.49650702404324,27624.162224724147,-1.705732892552902,-0.9434356201924581,0.762297272360444,168,63,84,21,strongscale_4node_large128full_20260704060904_c0,7.512454039009754,31,72,4,3,synthetic,"0,1,2",,1,9,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongscale_4node_large128full_20260704060904_c0_chem_4q_l1_grid9_r0_seed31.json,ok
practical_strongscale_4node_large128full_20260704060904_c0_chem_4q_l1_grid9_r2_seed2031.json,chemistry,chemistry_vqe,absolute_energy_error,0.00017602101434022188,exact_diagonalization_numpy,,0,6.97449295601109,39623.06990533786,-1.705732892552902,-1.072390840602129,0.6333420519507731,168,63,84,21,strongscale_4node_large128full_20260704060904_c0,6.984148145013023,2031,72,4,3,synthetic,"0,1,2",,1,9,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongscale_4node_large128full_20260704060904_c0_chem_4q_l1_grid9_r2_seed2031.json,ok
practical_strongscale_4node_large128full_20260704060904_c0_chem_4q_l2_grid13_r1_seed1031.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001792570110410452,exact_diagonalization_numpy,,0,7.147678232053295,39873.91171225466,-1.705732892552902,-1.0372804188617926,0.6684524736911095,464,174,116,29,strongscale_4node_large128full_20260704060904_c0,7.167028464959003,1031,72,4,3,synthetic,"0,1,2",,1,13,2,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongscale_4node_large128full_20260704060904_c0_chem_4q_l2_grid13_r1_seed1031.json,ok
practical_strongscale_4node_large128full_20260704060904_c0_chem_4q_l2_grid13_r3_seed3031.json,chemistry,chemistry_vqe,absolute_energy_error,0.00017508998280391097,exact_diagonalization_numpy,,0,7.177787844964769,40994.851504459904,-1.705732892552902,-1.092243579687127,0.613489312865775,464,174,116,29,strongscale_4node_large128full_20260704060904_c0,7.1884110670071095,3031,72,4,3,synthetic,"0,1,2",,1,13,2,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongscale_4node_large128full_20260704060904_c0_chem_4q_l2_grid13_r3_seed3031.json,ok
practical_strongscale_4node_large128full_20260704060904_c0_chem_h2_l1_grid17_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015389802865684032,exact_diagonalization_numpy,,0,7.795893471047748,50656.22697761076,-1.85727503020238,-1.8456249981377126,0.011650032064667304,1304,326,652,326,strongscale_4node_large128full_20260704060904_c0,7.808674397994764,17,72,4,3,synthetic,"0,1,2",,1,17,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongscale_4node_large128full_20260704060904_c0_chem_h2_l1_grid17_r0_seed17.json,ok
practical_strongscale_4node_large128full_20260704060904_c0_chem_h2_l1_grid17_r2_seed2017.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001524249673821032,exact_diagonalization_numpy,,0,7.92740926600527,52008.600704716686,-1.85727503020238,-1.8456249981377126,0.011650032064667304,1304,326,652,326,strongscale_4node_large128full_20260704060904_c0,7.9388988760183565,2017,72,4,3,synthetic,"0,1,2",,1,17,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongscale_4node_large128full_20260704060904_c0_chem_h2_l1_grid17_r2_seed2017.json,ok
practical_strongscale_4node_large128full_20260704060904_c0_chem_h2_l1_grid25_r0_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.00014954997459426522,exact_diagonalization_numpy,,0,7.242098962015007,48425.94578610326,-1.85727503020238,-1.8566776536800178,0.0005973765223621363,2712,678,1356,678,strongscale_4node_large128full_20260704060904_c0,7.249270892993081,23,72,4,3,synthetic,"0,1,2",,1,25,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongscale_4node_large128full_20260704060904_c0_chem_h2_l1_grid25_r0_seed23.json,ok
practical_strongscale_4node_large128full_20260704060904_c0_chem_h2_l1_grid25_r2_seed2023.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001533969771116972,exact_diagonalization_numpy,,0,7.27302799600875,47413.111607230945,-1.85727503020238,-1.8566776536800178,0.0005973765223621363,2712,678,1356,678,strongscale_4node_large128full_20260704060904_c0,7.283444899017923,2023,72,4,3,synthetic,"0,1,2",,1,25,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongscale_4node_large128full_20260704060904_c0_chem_h2_l1_grid25_r2_seed2023.json,ok
