file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,problem_name,problem_qubits,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,chem_native_baselines,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,sim_native_baselines,path,status
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_chem_h2_l1_grid17_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00013891997514292598,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,13.973170639015734,100584.31571586175,-1.85727503020238,-1.8456249981377126,0.011650032064667304,1304,326,652,326,strongscale_64node_largefull_c0c255_20260705024742_c0,13.984382583003026,17,72,4,3,synthetic,"0,1,2",,H2_minimal_2qubit,2,1,17,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_chem_h2_l1_grid17_r0_seed17.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ml,multiclass_ml,test_accuracy,0.00014506099978461862,linear_ridge_numpy,linear_ridge_numpy,6,32.28565857000649,222566.0833576432,1.0,0.6875,0.3125,1024,384,512,128,strongscale_64node_largefull_c0c255_20260705024742_c0,32.374251967994496,17,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ml,multiclass_ml,test_accuracy,0.0001459629856981337,linear_ridge_numpy,linear_ridge_numpy,6,13.97298552596476,95729.6499460645,1.0,0.8125,0.1875,1024,384,512,128,strongscale_64node_largefull_c0c255_20260705024742_c0,14.047094651963562,31,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ml,multiclass_ml,test_accuracy,0.0001676660031080246,nearest_centroid_numpy,nearest_centroid_numpy,6,15.680055846984033,93519.58987703438,1.0,0.75,0.25,1024,384,512,128,strongscale_64node_largefull_c0c255_20260705024742_c0,15.746266723959707,1017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031.json,ml,multiclass_ml,test_accuracy,0.0008069560281001031,knn_numpy,knn_numpy,6,12.725066751998384,15769.219522355232,1.0,0.78125,0.21875,1024,384,512,128,strongscale_64node_largefull_c0c255_20260705024742_c0,12.790955892996863,1031,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2017.json,ml,multiclass_ml,test_accuracy,0.00014813704183325171,linear_ridge_numpy,linear_ridge_numpy,6,12.479504504008219,84242.97089755302,1.0,0.78125,0.21875,1024,384,512,128,strongscale_64node_largefull_c0c255_20260705024742_c0,12.54623606003588,2017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2017.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2031.json,ml,multiclass_ml,test_accuracy,0.000767560035455972,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,12.94778246700298,16868.755366231777,1.0,0.8125,0.1875,1024,384,512,128,strongscale_64node_largefull_c0c255_20260705024742_c0,13.024471955024637,2031,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2031.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r3_seed3017.json,ml,multiclass_ml,test_accuracy,0.0008156630210578442,knn_numpy,knn_numpy,6,13.826507915975526,16951.250159709023,1.0,0.75,0.25,1024,384,512,128,strongscale_64node_largefull_c0c255_20260705024742_c0,13.896226257027593,3017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r3_seed3017.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r3_seed3031.json,ml,multiclass_ml,test_accuracy,0.0007824479835107923,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,13.944468649977352,17821.591906224163,1.0,0.78125,0.21875,1024,384,512,128,strongscale_64node_largefull_c0c255_20260705024742_c0,14.019369347020984,3031,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_ml_digits_c0v1v2_128s_4q_d1_r3_seed3031.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_qaoa_chordal_5n_grid7_r2_seed2043.json,optimization,optimization_qaoa,approximation_ratio,4.7873007133603096e-05,exact_enumeration_numpy,,4,14.07932133297436,294097.28312412155,6,4.521153579257492,0.2464744034570847,833,686,245,49,strongscale_64node_largefull_c0c255_20260705024742_c0,14.109003116027452,2043,72,4,3,synthetic,"0,1,2",,small_maxcut,5,1,21,1,,"dense_exact,sparse_lanczos",5,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_qaoa_chordal_5n_grid7_r2_seed2043.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_qaoa_ladder_6n_grid7_r0_seed17.json,optimization,optimization_qaoa,approximation_ratio,1.9647995941340923e-05,greedy_assignment_numpy,,4,13.562174235994462,690257.3817952896,7,4.737139289628745,0.32326581576732216,931,686,294,49,strongscale_64node_largefull_c0c255_20260705024742_c0,13.583767815958709,17,72,4,3,synthetic,"0,1,2",,small_maxcut,6,1,21,1,,"dense_exact,sparse_lanczos",6,ladder,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_qaoa_ladder_6n_grid7_r0_seed17.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_qaoa_ring_4n_grid7_r1_seed1031.json,optimization,optimization_qaoa,approximation_ratio,1.6843026969581842e-05,greedy_assignment_numpy,,4,13.507522718980908,801965.2728322061,4,2.749999999999999,0.3125000000000002,588,392,196,49,strongscale_64node_largefull_c0c255_20260705024742_c0,13.542825168988202,1031,72,4,3,synthetic,"0,1,2",,small_maxcut,4,1,21,1,,"dense_exact,sparse_lanczos",4,ring,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_qaoa_ring_4n_grid7_r1_seed1031.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_sim_tfim_4q_4steps_r0_seed23.json,simulation,hamiltonian_simulation,absolute_observable_error,0.0003192590083926916,exact_dense_eigendecomposition_numpy,exact_dense_eigendecomposition_numpy,2,13.623455641965847,42672.110367544796,0.8218024506329117,0.820673031863585,0.0011294187693267066,28,24,4,1,strongscale_64node_largefull_c0c255_20260705024742_c0,13.658674901002087,23,72,4,3,synthetic,"0,1,2",,tfim,4,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_sim_tfim_4q_4steps_r0_seed23.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c0_sim_tfim_4q_4steps_r2_seed2023.json,simulation,hamiltonian_simulation,absolute_observable_error,0.00032656302209943533,exact_dense_eigendecomposition_numpy,exact_dense_eigendecomposition_numpy,2,12.469931303989142,38185.374522263475,0.8218024506329117,0.820673031863585,0.0011294187693267066,28,24,4,1,strongscale_64node_largefull_c0c255_20260705024742_c0,12.482612236985005,2023,72,4,3,synthetic,"0,1,2",,tfim,4,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c0_sim_tfim_4q_4steps_r2_seed2023.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c100_chem_h2_l1_grid25_r1_seed1043.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001609110040590167,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,13.253567202016711,82365.82252109838,-1.85727503020238,-1.8566776536800178,0.0005973765223621363,2712,678,1356,678,strongscale_64node_largefull_c0c255_20260705024742_c100,13.272778078040574,1043,72,4,3,synthetic,"0,1,2",,H2_minimal_2qubit,2,1,25,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c100_chem_h2_l1_grid25_r1_seed1043.json,ok
practical_strongscale_64node_largefull_c0c255_20260705024742_c100_ml_digits_c2v4v6v8_128s_8q_d1_r0_seed17.json,ml,multiclass_ml,test_accuracy,0.00017552002100273967,linear_ridge_numpy,linear_ridge_numpy,6,32.37811582500581,184469.64420372547,0.96875,0.59375,0.375,2048,896,1024,128,strongscale_64node_largefull_c0c255_20260705024742_c100,32.477433794992976,17,128,8,4,digits,"2,4,6,8",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_strongscale_64node_largefull_c0c255_20260705024742_c100_ml_digits_c2v4v6v8_128s_8q_d1_r0_seed17.json,ok
