file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,problem_name,problem_qubits,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,chem_native_baselines,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,sim_native_baselines,path,status
practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_chem_h2_l1_grid17_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00014816602924838662,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,9.874069875048008,66641.92814734236,-1.85727503020238,-1.8456249981377126,0.011650032064667304,1304,326,652,326,weakscale_1node_4gpu_large128c0c3_20260706053945_c0,9.88624780997634,17,72,4,3,synthetic,"0,1,2",,H2_minimal_2qubit,2,1,17,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_chem_h2_l1_grid17_r0_seed17.json,ok
practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_chem_h2_l1_grid25_r2_seed2023.json,chemistry,chemistry_vqe,absolute_energy_error,0.00016150198644027114,exact_dense_diagonalization_numpy,exact_dense_diagonalization_numpy,2,10.231747359968722,63353.693570529336,-1.85727503020238,-1.8566776536800178,0.0005973765223621363,2712,678,1356,678,weakscale_1node_4gpu_large128c0c3_20260706053945_c0,10.239748004009016,2023,72,4,3,synthetic,"0,1,2",,H2_minimal_2qubit,2,1,25,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_chem_h2_l1_grid25_r2_seed2023.json,ok
practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ml,multiclass_ml,test_accuracy,0.00016201299149543047,linear_ridge_numpy,linear_ridge_numpy,6,17.892111759982072,110436.27794803551,1.0,0.6875,0.3125,1024,384,512,128,weakscale_1node_4gpu_large128c0c3_20260706053945_c0,17.983310768962838,17,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ok
practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed23.json,ml,multiclass_ml,test_accuracy,0.0001426349626854062,nearest_centroid_numpy,nearest_centroid_numpy,6,11.028232887969352,77317.87971433818,1.0,0.75,0.25,1024,384,512,128,weakscale_1node_4gpu_large128c0c3_20260706053945_c0,11.097867687989492,23,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed23.json,ok
practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ml,multiclass_ml,test_accuracy,0.0001495390315540135,linear_ridge_numpy,linear_ridge_numpy,6,10.551128079008777,70557.6863067868,1.0,0.8125,0.1875,1024,384,512,128,weakscale_1node_4gpu_large128c0c3_20260706053945_c0,10.618245819990989,31,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ok
practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed43.json,ml,multiclass_ml,test_accuracy,0.00014666299102827907,linear_ridge_numpy,linear_ridge_numpy,6,10.238033175992314,69806.52108764269,1.0,0.84375,0.15625,1024,384,512,128,weakscale_1node_4gpu_large128c0c3_20260706053945_c0,10.30266503902385,43,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed43.json,ok
practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ml,multiclass_ml,test_accuracy,0.00017221301095560193,nearest_centroid_numpy,nearest_centroid_numpy,6,10.060938855982386,58421.47930725273,1.0,0.75,0.25,1024,384,512,128,weakscale_1node_4gpu_large128c0c3_20260706053945_c0,10.12843406299362,1017,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ok
practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1023.json,ml,multiclass_ml,test_accuracy,0.0007856290321797132,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,10.443916041986085,13293.699206875837,1.0,0.8125,0.1875,1024,384,512,128,weakscale_1node_4gpu_large128c0c3_20260706053945_c0,10.511271808994934,1023,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1023.json,ok
practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031.json,ml,multiclass_ml,test_accuracy,0.0007999369991011918,knn_numpy,knn_numpy,6,10.347917160950601,12935.915169041447,1.0,0.78125,0.21875,1024,384,512,128,weakscale_1node_4gpu_large128c0c3_20260706053945_c0,10.422198543034028,1031,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031.json,ok
practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1043.json,ml,multiclass_ml,test_accuracy,0.0007752380333840847,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,10.133063077984843,13070.905504663893,1.0,0.90625,0.09375,1024,384,512,128,weakscale_1node_4gpu_large128c0c3_20260706053945_c0,10.200459002982825,1043,128,4,3,digits,"0,1,2",sklearn_digits,,,1,21,1,,"dense_exact,sparse_lanczos",4,chordal,7,tfim,auto,4,4,"dense_exact,sparse_krylov",data/raw/perlmutter/practical_suite_sweep/practical_weakscale_1node_4gpu_large128c0c3_20260706053945_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1043.json,ok
