JobID|JobName|Partition|QOS|Account|State|ExitCode|Submit|Start|End|Elapsed|AllocTRES|ReqTRES
55421321|qsup-digits-exp|shared_gpu_ss11|gpu_shared|m1248_g|COMPLETED|0:0|2026-07-03T00:16:18|2026-07-03T00:27:39|2026-07-03T00:30:49|00:03:10|billing=32,cpu=32,energy=72599,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|billing=32,cpu=32,gres/gpu=1,mem=57472M,node=1
55421321.batch|batch|||m1248_g|COMPLETED|0:0|2026-07-03T00:27:39|2026-07-03T00:27:39|2026-07-03T00:30:49|00:03:10|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55421321.extern|extern|||m1248_g|COMPLETED|0:0|2026-07-03T00:27:39|2026-07-03T00:27:39|2026-07-03T00:30:51|00:03:12|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55421323|qsup-digits-exp|shared_gpu_ss11|gpu_shared|m1248_g|COMPLETED|0:0|2026-07-03T00:16:19|2026-07-03T00:27:39|2026-07-03T00:30:51|00:03:12|billing=32,cpu=32,energy=72763,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|billing=32,cpu=32,gres/gpu=1,mem=57472M,node=1
55421323.batch|batch|||m1248_g|COMPLETED|0:0|2026-07-03T00:27:39|2026-07-03T00:27:39|2026-07-03T00:30:51|00:03:12|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55421323.extern|extern|||m1248_g|COMPLETED|0:0|2026-07-03T00:27:39|2026-07-03T00:27:39|2026-07-03T00:30:51|00:03:12|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55422136|qsup-digits-exp|shared_gpu_ss11|gpu_shared|m1248_g|COMPLETED|0:0|2026-07-03T00:48:10|2026-07-03T00:51:14|2026-07-03T00:54:17|00:03:03|billing=32,cpu=32,energy=112020,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|billing=32,cpu=32,gres/gpu=1,mem=57472M,node=1
55422136.batch|batch|||m1248_g|COMPLETED|0:0|2026-07-03T00:51:14|2026-07-03T00:51:14|2026-07-03T00:54:17|00:03:03|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55422136.extern|extern|||m1248_g|COMPLETED|0:0|2026-07-03T00:51:14|2026-07-03T00:51:14|2026-07-03T00:54:17|00:03:03|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55422137|qsup-digits-exp|shared_gpu_ss11|gpu_shared|m1248_g|COMPLETED|0:0|2026-07-03T00:48:11|2026-07-03T00:57:38|2026-07-03T01:00:40|00:03:02|billing=32,cpu=32,energy=113128,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|billing=32,cpu=32,gres/gpu=1,mem=57472M,node=1
55422137.batch|batch|||m1248_g|COMPLETED|0:0|2026-07-03T00:57:38|2026-07-03T00:57:38|2026-07-03T01:00:40|00:03:02|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55422137.extern|extern|||m1248_g|COMPLETED|0:0|2026-07-03T00:57:38|2026-07-03T00:57:38|2026-07-03T01:00:40|00:03:02|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55422138|qsup-digits-exp|shared_gpu_ss11|gpu_shared|m1248_g|COMPLETED|0:0|2026-07-03T00:48:13|2026-07-03T00:57:38|2026-07-03T01:00:19|00:02:41|billing=32,cpu=32,energy=94424,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|billing=32,cpu=32,gres/gpu=1,mem=57472M,node=1
55422138.batch|batch|||m1248_g|COMPLETED|0:0|2026-07-03T00:57:38|2026-07-03T00:57:38|2026-07-03T01:00:19|00:02:41|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55422138.extern|extern|||m1248_g|COMPLETED|0:0|2026-07-03T00:57:38|2026-07-03T00:57:38|2026-07-03T01:00:19|00:02:41|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55422139|qsup-digits-exp|shared_gpu_ss11|gpu_shared|m1248_g|COMPLETED|0:0|2026-07-03T00:48:15|2026-07-03T01:05:46|2026-07-03T01:08:57|00:03:11|billing=32,cpu=32,energy=106706,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|billing=32,cpu=32,gres/gpu=1,mem=57472M,node=1
55422139.batch|batch|||m1248_g|COMPLETED|0:0|2026-07-03T01:05:46|2026-07-03T01:05:46|2026-07-03T01:08:57|00:03:11|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55422139.extern|extern|||m1248_g|COMPLETED|0:0|2026-07-03T01:05:46|2026-07-03T01:05:46|2026-07-03T01:08:57|00:03:11|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55422141|qsup-digits-exp|shared_gpu_ss11|gpu_shared|m1248_g|COMPLETED|0:0|2026-07-03T00:48:16|2026-07-03T01:05:46|2026-07-03T01:08:49|00:03:03|billing=32,cpu=32,energy=79796,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|billing=32,cpu=32,gres/gpu=1,mem=57472M,node=1
55422141.batch|batch|||m1248_g|COMPLETED|0:0|2026-07-03T01:05:46|2026-07-03T01:05:46|2026-07-03T01:08:49|00:03:03|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55422141.extern|extern|||m1248_g|COMPLETED|0:0|2026-07-03T01:05:46|2026-07-03T01:05:46|2026-07-03T01:08:49|00:03:03|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55422142|qsup-digits-exp|shared_gpu_ss11|gpu_shared|m1248_g|COMPLETED|0:0|2026-07-03T00:48:16|2026-07-03T01:10:15|2026-07-03T01:13:25|00:03:10|billing=32,cpu=32,energy=111623,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|billing=32,cpu=32,gres/gpu=1,mem=57472M,node=1
55422142.batch|batch|||m1248_g|COMPLETED|0:0|2026-07-03T01:10:15|2026-07-03T01:10:15|2026-07-03T01:13:25|00:03:10|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
55422142.extern|extern|||m1248_g|COMPLETED|0:0|2026-07-03T01:10:15|2026-07-03T01:10:15|2026-07-03T01:13:25|00:03:10|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|
