JobID|JobName|State|ExitCode|Elapsed|Submit|Start|End|AllocTRES
55453128|qsup-prac-sweep|COMPLETED|0:0|00:07:29|2026-07-03T15:47:46|2026-07-03T15:51:41|2026-07-03T15:59:10|billing=32,cpu=32,energy=276567,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55453128.batch|batch|COMPLETED|0:0|00:07:29|2026-07-03T15:51:41|2026-07-03T15:51:41|2026-07-03T15:59:10|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55453128.extern|extern|COMPLETED|0:0|00:07:29|2026-07-03T15:51:41|2026-07-03T15:51:41|2026-07-03T15:59:10|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55453129|qsup-prac-sweep|COMPLETED|0:0|00:07:06|2026-07-03T15:47:46|2026-07-03T15:51:41|2026-07-03T15:58:47|billing=32,cpu=32,energy=286712,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55453129.batch|batch|COMPLETED|0:0|00:07:06|2026-07-03T15:51:41|2026-07-03T15:51:41|2026-07-03T15:58:47|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55453129.extern|extern|COMPLETED|0:0|00:07:06|2026-07-03T15:51:41|2026-07-03T15:51:41|2026-07-03T15:58:47|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55453130|qsup-prac-sweep|COMPLETED|0:0|00:07:18|2026-07-03T15:47:46|2026-07-03T16:01:56|2026-07-03T16:09:14|billing=32,cpu=32,energy=156188,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55453130.batch|batch|COMPLETED|0:0|00:07:18|2026-07-03T16:01:56|2026-07-03T16:01:56|2026-07-03T16:09:14|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55453130.extern|extern|COMPLETED|0:0|00:07:18|2026-07-03T16:01:56|2026-07-03T16:01:56|2026-07-03T16:09:14|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55453131|qsup-prac-sweep|COMPLETED|0:0|00:06:52|2026-07-03T15:47:46|2026-07-03T16:01:56|2026-07-03T16:08:48|billing=32,cpu=32,energy=145088,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55453131.batch|batch|COMPLETED|0:0|00:06:52|2026-07-03T16:01:56|2026-07-03T16:01:56|2026-07-03T16:08:48|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55453131.extern|extern|COMPLETED|0:0|00:06:52|2026-07-03T16:01:56|2026-07-03T16:01:56|2026-07-03T16:08:48|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
