JobID|JobName|State|ExitCode|Elapsed|Submit|Start|End|AllocTRES
55804478_0|qsup-d1split|COMPLETED|0:0|00:44:21|2026-07-11T15:45:48|2026-07-11T17:46:54|2026-07-11T18:31:15|billing=32,cpu=32,energy=1852489,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_0.batch|batch|COMPLETED|0:0|00:44:21|2026-07-11T17:46:54|2026-07-11T17:46:54|2026-07-11T18:31:15|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_0.extern|extern|COMPLETED|0:0|00:44:22|2026-07-11T17:46:54|2026-07-11T17:46:54|2026-07-11T18:31:16|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_1|qsup-d1split|COMPLETED|0:0|00:44:07|2026-07-11T15:45:48|2026-07-11T17:48:40|2026-07-11T18:32:47|billing=32,cpu=32,energy=1861464,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_1.batch|batch|COMPLETED|0:0|00:44:07|2026-07-11T17:48:40|2026-07-11T17:48:40|2026-07-11T18:32:47|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_1.extern|extern|COMPLETED|0:0|00:44:07|2026-07-11T17:48:40|2026-07-11T17:48:40|2026-07-11T18:32:47|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_2|qsup-d1split|COMPLETED|0:0|00:43:59|2026-07-11T15:45:48|2026-07-11T18:33:41|2026-07-11T19:17:40|billing=32,cpu=32,energy=1608669,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_2.batch|batch|COMPLETED|0:0|00:43:59|2026-07-11T18:33:41|2026-07-11T18:33:41|2026-07-11T19:17:40|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_2.extern|extern|COMPLETED|0:0|00:43:59|2026-07-11T18:33:41|2026-07-11T18:33:41|2026-07-11T19:17:40|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_3|qsup-d1split|COMPLETED|0:0|00:44:23|2026-07-11T15:45:48|2026-07-11T18:37:18|2026-07-11T19:21:41|billing=32,cpu=32,energy=1601913,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_3.batch|batch|COMPLETED|0:0|00:44:23|2026-07-11T18:37:18|2026-07-11T18:37:18|2026-07-11T19:21:41|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_3.extern|extern|COMPLETED|0:0|00:44:23|2026-07-11T18:37:18|2026-07-11T18:37:18|2026-07-11T19:21:41|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
