# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
    0     47     38     36      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      0
    0     47     38     36      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      0
    0     48     38     37      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0     20
    0     49     38     37      4      0      0      0      0      0   1215    825      0      0   1205   1206      0      0      0      0      7     26
    0     49     38     37      0      0      0      0      0      0   1215    825      0      0   1205   1206      0      0      0      0     16      8
    0     48     38     37      0      0      0      0      0      0   1215    765      0      0   1335   1336      0      0      0      0      0      0
    0     47     38     37      0      0      0      0      0      0   1215    765      0      0   1337   1338      0      0      0      0      0      0
    0     48     38     36      0      0      0      0      0      0   1215    765      0      0   1337   1338      0      0      0      0     15     10
    0     49     38     37     33      0      0      0      0      0   1215    795      0      0   1339   1340      0      0      0      0    106     11
    0     50     38     37     32      0      0      0      0      0   1215    885      0      0   1339   1340      0      0      0      0      0      0
    0     50     38     37      0      0      0      0      0      0   1215    885      0      0   1337   1338      0      0      0      0      0      0
    0     48     38     37      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      0
    0     48     38     36      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      0
    0     47     38     37      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      0
    0     48     38     36      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      0
    0     47     38     36      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      1
    0     47     38     37      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      0
    0     47     38     37      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      1
    0     48     38     36      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      0
    0     47     38     37      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      1
    0     47     38     36      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      0
    0     48     38     36      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0     13
    0     48     38     37      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      2     26
    0     48     38     37      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0     19     15
    0     47     38     36      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      0
    0     48     38     37      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      1
    0     48     38     37      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      0
    0     48     38     37      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      1
    0     47     38     37      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      0      0
    0     47     38     37      0      0      0      0      0      0   1215    765      0      0    781    782      0      0      0      0      1      0
